,loss,acc,mse,val_loss,val_acc,val_mse,lr
0,2.6305363178253174,0.21099188923835754,31.525907516479492,1.8402199745178223,0.4022113084793091,31.516582489013672,1e-05
1,1.9421452283859253,0.3752969205379486,31.53228187561035,1.4429250955581665,0.5272727012634277,31.5283203125,1e-05
2,1.5491560697555542,0.4948808252811432,31.53847885131836,1.1994048357009888,0.5995085835456848,31.535940170288086,1e-05
3,1.2725768089294434,0.5755590200424194,31.543655395507812,1.0209497213363647,0.6577395796775818,31.542804718017578,1e-05
4,1.0848489999771118,0.6339585781097412,31.548856735229492,0.8751381039619446,0.6965602040290833,31.548913955688477,1e-05
5,0.9323715567588806,0.6805635094642639,31.553388595581055,0.7809919118881226,0.7346437573432922,31.553730010986328,1e-05
6,0.8174560070037842,0.7202063798904419,31.55771827697754,0.684759259223938,0.7692874670028687,31.558225631713867,1e-05
7,0.7352949380874634,0.7469080090522766,31.56139373779297,0.6094104051589966,0.7914004921913147,31.562318801879883,1e-05
8,0.6498262882232666,0.775903046131134,31.564496994018555,0.5967553853988647,0.7985258102416992,31.563596725463867,1e-05
9,0.6071668863296509,0.7872061729431152,31.56646728515625,0.5422470569610596,0.8130221366882324,31.566593170166016,1e-05
10,0.5349794030189514,0.8144811391830444,31.569034576416016,0.4979396462440491,0.8289926052093506,31.568603515625,1e-05
11,0.5049678087234497,0.8226717710494995,31.570589065551758,0.47839221358299255,0.8393120169639587,31.570066452026367,1e-05
12,0.4671196937561035,0.8356949687004089,31.57247543334961,0.45855268836021423,0.8461916446685791,31.571239471435547,1e-05
13,0.43059560656547546,0.8498648405075073,31.57377815246582,0.4420152008533478,0.8486486673355103,31.572011947631836,1e-05
14,0.40344277024269104,0.85821932554245,31.5749454498291,0.4161495268344879,0.8560196757316589,31.573930740356445,1e-05
15,0.37814462184906006,0.863625168800354,31.57597541809082,0.41797539591789246,0.8584766387939453,31.57460594177246,1e-05
16,0.35588887333869934,0.8747645020484924,31.576923370361328,0.39694303274154663,0.8609336614608765,31.575214385986328,1e-05
17,0.3302915692329407,0.8825456500053406,31.57792854309082,0.39147287607192993,0.8670761585235596,31.575897216796875,1e-05
18,0.3183475434780121,0.886886715888977,31.578855514526367,0.38911524415016174,0.8638820648193359,31.57640266418457,1e-05
19,0.2973445951938629,0.89556884765625,31.579448699951172,0.3733711540699005,0.8712530732154846,31.57689666748047,1e-05
20,0.28038302063941956,0.9005651473999023,31.580495834350586,0.36284470558166504,0.8773955702781677,31.57769203186035,1e-05
21,0.2641921043395996,0.9037595391273499,31.580808639526367,0.36335837841033936,0.8739557862281799,31.578048706054688,1e-05
22,0.24842488765716553,0.9121959209442139,31.58135223388672,0.36611199378967285,0.8746928572654724,31.57845687866211,1e-05
23,0.23713289201259613,0.9135064482688904,31.58204460144043,0.3584727644920349,0.875921368598938,31.57847023010254,1e-05
24,0.22214755415916443,0.9212056398391724,31.58279037475586,0.3545474708080292,0.8744471669197083,31.578685760498047,1e-05
25,0.19509245455265045,0.9312801957130432,31.582942962646484,0.34661921858787537,0.8793611526489258,31.5794734954834,1e-06
26,0.2021828293800354,0.9275124669075012,31.58300018310547,0.35129615664482117,0.8776412606239319,31.57966423034668,1e-06
27,0.20371626317501068,0.9273486733436584,31.58328628540039,0.35786664485931396,0.8773955702781677,31.579490661621094,1e-06
28,0.20294219255447388,0.9258743524551392,31.583345413208008,0.34724339842796326,0.8796069025993347,31.57952117919922,1e-06
29,0.19626694917678833,0.9280039072036743,31.58348846435547,0.347438782453537,0.8805896639823914,31.579219818115234,1e-06
30,0.1944788694381714,0.9336555004119873,31.58345603942871,0.3593778610229492,0.8766584992408752,31.579166412353516,1e-06
31,0.19054721295833588,0.9308706521987915,31.583620071411133,0.35396817326545715,0.8783783912658691,31.57990264892578,1e-06
32,0.19567875564098358,0.9293963313102722,31.58361053466797,0.3486507833003998,0.8803439736366272,31.5799617767334,1e-06
33,0.18839263916015625,0.9315259456634521,31.583789825439453,0.3530237674713135,0.8793611526489258,31.5797061920166,1e-06
34,0.19086064398288727,0.9306249618530273,31.583627700805664,0.35676828026771545,0.8769041895866394,31.579771041870117,1e-07
35,0.19119438529014587,0.9308706521987915,31.58378791809082,0.35300013422966003,0.8769041895866394,31.579727172851562,1e-07
36,0.19198937714099884,0.9298058748245239,31.5838565826416,0.35359251499176025,0.8773955702781677,31.579687118530273,1e-07
37,0.19313043355941772,0.931443989276886,31.583580017089844,0.35389015078544617,0.8766584992408752,31.57973289489746,1e-07
38,0.19164231419563293,0.9332459568977356,31.583816528320312,0.35460978746414185,0.8791154623031616,31.579620361328125,1e-08
39,0.19256602227687836,0.9320173859596252,31.583885192871094,0.3516484498977661,0.8798525929450989,31.579811096191406,1e-08
